"seed","mu_base","mu_inv","sigmaK","alpha","rep","N","en_var","mig1","mig2","theta1","theta2","burnin","chrom_num","r"
3383506,1e-07,0,5,0.002,3,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383507,1e-07,0,5,0.002,3,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383508,1e-07,0,5,0.002,3,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383509,1e-07,0,5,0.002,3,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383510,1e-07,0,5,0.002,3,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383511,1e-07,0,5,0.002,3,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383512,1e-07,0,5,0.002,4,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383513,1e-07,0,5,0.002,4,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383514,1e-07,0,5,0.002,4,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383515,1e-07,0,5,0.002,4,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383516,1e-07,0,5,0.002,4,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383517,1e-07,0,5,0.002,4,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383518,1e-07,0,5,0.002,4,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383519,1e-07,0,5,0.002,4,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383520,1e-07,0,5,0.002,4,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383521,1e-07,0,5,0.002,4,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383522,1e-07,0,5,0.002,5,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383523,1e-07,0,5,0.002,5,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383524,1e-07,0,5,0.002,5,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383525,1e-07,0,5,0.002,5,1000,0,0.25,0.25,1,-1,4000,21,1e-06
